Label,Combination,Dry,Normal,Oily,Sensitive,Name_Group_Num,Brand_Group_Num,Name,Brand,Price_Category,Rank_Num
Moisturizer,1,1,1,1,1,1,1,Crème de la Mer,LA MER,4,5
Moisturizer,1,1,1,1,1,1,1,Facial Treatment Essence,SK-II,4,5
Moisturizer,1,1,1,1,0,1,1,Protini™ Polypeptide Cream,DRUNK ELEPHANT,2,5
Moisturizer,1,1,1,1,1,1,1,The Moisturizing Soft Cream,LA MER,4,4
Moisturizer,1,1,1,1,1,1,1,Your Skin But Better™ CC+™ Cream with SPF 50+,IT COSMETICS,1,5
Moisturizer,1,0,1,1,1,1,1,The Water Cream,TATCHA,2,5
Moisturizer,1,1,1,1,0,1,1,Lala Retro™ Whipped Cream,DRUNK ELEPHANT,2,5
Moisturizer,1,1,1,1,0,1,1,Virgin Marula Luxury Facial Oil,DRUNK ELEPHANT,2,5
Moisturizer,1,1,1,1,1,1,1,Ultra Facial Cream,KIEHL'S SINCE 1851,1,5
Moisturizer,0,0,0,0,0,1,1,Little Miss Miracle Limited-Edition Crème de la Mer,LA MER,7,5
Moisturizer,0,0,0,0,0,1,1,Lotus Youth Preserve Moisturizer,FRESH,1,5
Moisturizer,1,1,1,1,1,1,1,Midnight Recovery Concentrate,KIEHL'S SINCE 1851,1,5
Moisturizer,1,0,1,1,0,1,1,The True Cream Aqua Bomb,BELIF,1,5
Moisturizer,1,1,1,1,1,1,1,Luna Sleeping Night Oil,SUNDAY RILEY,3,5
Moisturizer,1,1,1,1,1,1,1,Honeymoon Glow AHA Resurfacing Night Serum with Echinacea GreenEnvy™,FARMACY,2,5
Moisturizer,1,1,1,1,0,1,1,The Littles™,DRUNK ELEPHANT,2,5
Moisturizer,1,1,1,1,1,1,1,Ultra Repair® Cream Intense Hydration,FIRST AID BEAUTY,1,5
Moisturizer,1,1,1,1,1,1,1,Moisture Surge 72-Hour Auto-Replenishing Hydrator,CLINIQUE,1,5
Moisturizer,0,0,0,0,0,1,1,Rose Deep Hydration Moisturizer,FRESH,1,5
Moisturizer,0,1,1,0,1,1,1,R.N.A. POWER Face Cream,SK-II,5,5
Moisturizer,1,1,1,1,1,1,1,Crème de la Mer Mini,LA MER,2,5
Moisturizer,0,0,0,0,0,1,1,COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30,BAREMINERALS,1,4
Moisturizer,0,0,0,0,0,1,1,Bio-Performance Advanced Super Revitalizing Cream,SHISEIDO,2,5
Moisturizer,1,1,1,0,0,1,1,Black Tea Firming Overnight Mask,FRESH,2,5
Moisturizer,0,1,1,0,0,1,1,The True Cream Moisturizing Bomb,BELIF,1,5
Moisturizer,0,0,0,0,0,1,1,Charlotte's Magic Cream,CHARLOTTE TILBURY,2,5
Moisturizer,1,1,1,1,0,1,1,Virgin Marula Luxury Facial Oil Mini,DRUNK ELEPHANT,1,5
Moisturizer,1,1,1,1,1,1,1,Dr. Andrew Weil For Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion,ORIGINS,1,5
Moisturizer,1,1,0,0,0,1,1,Dramatically Different Moisturizing Lotion+,CLINIQUE,1,4
Moisturizer,1,1,1,1,1,1,1,GenOptics Aura Essence Serum,SK-II,5,5
Moisturizer,0,0,0,0,0,1,1,Black Tea Kombucha Antioxidant Essence,FRESH,2,5
Moisturizer,1,1,1,1,1,1,1,Pure One Step Camellia Cleansing Oil,TATCHA,1,5
Moisturizer,1,1,1,1,1,1,1,Sheer Transformation® Perfecting Moisturizer,OLEHENRIKSEN,1,5
Moisturizer,0,1,0,1,1,1,1,100 percent Pure Argan Oil,JOSIE MARAN,1,5
Moisturizer,1,1,1,1,0,1,1,Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40,IT COSMETICS,1,4
Moisturizer,0,0,0,0,0,1,1,Unicorn Essence Antioxidant Primer Serum,FARSÁLI,2,4
Moisturizer,1,1,1,1,1,1,1,Water Sleeping Mask,LANEIGE,1,5
Moisturizer,0,1,1,0,1,1,1,Water Bank Moisture Cream,LANEIGE,1,5
Moisturizer,1,1,1,1,1,1,1,Facial Treatment Essence Mini,SK-II,2,5
Moisturizer,0,0,0,0,0,1,1,Premium Beauty Balm SPF 45,DR. JART+,1,5
Moisturizer,1,1,1,0,1,1,1,Luminous Dewy Skin Mist,TATCHA,1,4
Moisturizer,0,1,1,0,0,1,1,Benefiance WrinkleResist24 Night Cream,SHISEIDO,2,5
Moisturizer,1,0,0,1,0,1,1,Dramatically Different Moisturizing Gel,CLINIQUE,1,5
Moisturizer,1,1,1,1,0,1,1,Goodnight Glow Retin-ALT Sleeping Crème,OLEHENRIKSEN,2,5
Moisturizer,1,1,1,1,1,1,1,U.F.O. Ultra-Clarifying Face Oil,SUNDAY RILEY,2,5
Moisturizer,1,1,1,1,1,1,1,Watermelon Glow Sleeping Mask,GLOW RECIPE,1,5
Moisturizer,1,1,1,1,1,1,1,Pink Cloud Rosewater Moisture Crème,HERBIVORE,1,5
Moisturizer,0,0,0,0,0,1,1,Radiance Drops - Rainforest of the Sea™ Collection,TARTE,1,4
Moisturizer,1,1,1,0,1,1,1,Tidal Brightening Enzyme Water Cream,SUNDAY RILEY,2,5
Moisturizer,1,0,1,1,1,1,1,Beauty Elixir,CAUDALIE,1,5
Moisturizer,1,1,1,1,1,1,1,Grape Water,CAUDALIE,1,5
Moisturizer,1,1,1,1,1,1,1,Adaptogen Deep Moisture Cream,YOUTH TO THE PEOPLE,2,5
Moisturizer,1,1,1,1,1,1,1,The Renewal Oil,LA MER,5,5
Moisturizer,1,1,1,1,1,1,1,Squalane + Vitamin C Rose Oil,BIOSSANCE,2,5
Moisturizer,1,1,1,1,0,1,1,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,TARTE,1,5
Moisturizer,0,0,0,0,0,1,1,Eudermine Revitalizing Essence,SHISEIDO,2,5
Moisturizer,1,1,1,1,1,1,1,GinZing™ Energy-Boosting Gel Moisturizer,ORIGINS,1,5
Moisturizer,0,0,0,0,0,1,1,Micro Essence Skin Activating Treatment Lotion,ESTÉE LAUDER,2,5
Moisturizer,1,1,1,1,1,1,1,Beauty Water,SON & PARK,1,5
Moisturizer,1,1,1,0,1,1,1,The Silk Cream,TATCHA,3,5
Moisturizer,1,1,1,1,1,1,1,C-Rush™ Brightening Gel Crème,OLEHENRIKSEN,1,5
Moisturizer,1,1,1,1,1,1,1,Color Control Cushion Compact Broad Spectrum SPF 50+,AMOREPACIFIC,2,4
Moisturizer,1,0,1,1,0,1,1,Vitamin Enriched Face Base Priming Moisturizer,BOBBI BROWN,2,5
Moisturizer,1,1,1,1,1,1,1,Cicapair ™ Tiger Grass Color Correcting Treatment SPF 30,DR. JART+,2,5
Moisturizer,1,1,1,1,1,1,1,Vinosource Moisturizing Sorbet,CAUDALIE,1,5
Moisturizer,1,0,1,1,0,1,1,Lapis Oil Balancing Facial Oil,HERBIVORE,2,5
Moisturizer,1,1,1,1,1,1,1,CC Crème High Definition Radiance Face Cream Skin Perfector,ERBORIAN,1,5
Moisturizer,0,0,0,0,0,1,1,Camera Ready BB Cream SPF 35,SMASHBOX,1,4
Moisturizer,1,1,1,1,1,1,1,C.E.O. C + E antiOXIDANT Protect + Repair Moisturizer,SUNDAY RILEY,2,5
Moisturizer,0,0,0,0,0,1,1,Rose Gold Elixir – 24k Gold Infused Beauty Oil,FARSÁLI,2,4
Moisturizer,1,1,1,1,1,1,1,Your Skin But Better™ CC+Illumination™ Cream with SPF 50+,IT COSMETICS,1,4
Moisturizer,1,1,1,0,1,1,1,Luminous Dewy Skin Night Concentrate,TATCHA,3,5
Moisturizer,1,1,1,1,0,1,1,GLOWSTARTER™ Mega Illuminating Moisturizer,GLAMGLOW,1,4
Moisturizer,0,0,0,0,0,1,1,Revitalizing Supreme Global Anti-Aging Crème,ESTÉE LAUDER,2,5
Moisturizer,1,1,1,0,1,1,1,Ceramidin™ Cream,DR. JART+,1,5
Moisturizer,0,1,1,0,1,1,1,Juno Antioxidant + Superfood Face Oil,SUNDAY RILEY,2,5
Moisturizer,0,0,0,0,0,1,1,Seaberry Moisturizing Face Oil,FRESH,2,5
Moisturizer,1,1,1,1,1,1,1,BB Cushion Hydra Radiance SPF 50,LANEIGE,1,5
Moisturizer,1,1,1,1,1,1,1,FUTURE RESPONSE Age Defense Creme,AMOREPACIFIC,4,5
Moisturizer,1,1,1,1,0,1,1,THIRSTYMUD™ Hydrating Treatment,GLAMGLOW,2,5
Moisturizer,1,1,1,1,1,1,1,Honey Drop Lightweight Moisturizer with Echinacea GreenEnvy™,FARMACY,1,5
Moisturizer,1,1,1,1,1,1,1,Water Drench Hyaluronic Cloud Cream,PETER THOMAS ROTH,2,5
Moisturizer,1,1,1,1,0,1,1,Vintage Single Extract Essence,AMOREPACIFIC,3,5
Moisturizer,1,1,1,1,1,1,1,Confidence in a Cream™ Transforming Moisturizing Super Cream,IT COSMETICS,1,5
Moisturizer,0,0,0,0,0,1,1,Black Tea Corset Cream Firming Moisturizer,FRESH,2,4
Moisturizer,1,1,1,1,1,1,1,Crème Ancienne®,FRESH,6,5
Moisturizer,1,1,1,1,1,1,1,Hello FAB Coconut Skin Smoothie Priming Moisturizer,FIRST AID BEAUTY,1,5
Moisturizer,1,1,1,1,1,1,1,Secret Sauce Clinically Advanced Miraculous Anti-Aging Moisturizer,IT COSMETICS,2,4
Moisturizer,0,1,1,0,0,1,1,Benefiance WrinkleResist24 Day Cream Broad Spectrum SPF 18,SHISEIDO,2,5
Moisturizer,0,0,0,0,0,1,1,Rose Floral Toner,FRESH,1,5
Moisturizer,0,0,1,1,0,1,1,High-Potency Night-a-Mins™ Oil-Free Resurfacing Cream with Fruit-Derived AHAs,ORIGINS,1,5
Moisturizer,0,0,0,0,0,1,1,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,TARTE,1,5
Moisturizer,1,1,0,0,0,1,1,Moisture Surge Intense Skin Fortifying Hydrator,CLINIQUE,1,5
Moisturizer,1,1,1,1,1,1,1,Argan Daily Moisturizer SPF 47,JOSIE MARAN,1,4
Moisturizer,1,1,1,1,1,1,1,Water Bank Essence,LANEIGE,1,5
Moisturizer,0,0,0,0,0,1,1,Double-Duty Face Moisturizer Broad Spectrum SPF 20,JACK BLACK,1,5
Moisturizer,1,0,1,1,1,1,1,Watermelon Pink Juice Moisturizer,GLOW RECIPE,1,5
Moisturizer,0,0,0,0,0,1,1,The Concentrate Mini,LA MER,4,1
Moisturizer,1,1,1,1,1,1,1,The Moisturizing Cool Gel Cream,LA MER,4,4
Moisturizer,1,1,1,1,1,1,1,Renewed Hope in A Jar Refreshing & Refining Moisturizer,PHILOSOPHY,1,5
Moisturizer,1,1,1,1,1,2,2,Cold Plasma Sub-D Firming Neck Treatment,PERRICONE MD,3,4
Moisturizer,1,1,1,1,1,2,2,Rénergie Lift Multi-Action Night,LANCÔME,3,5
Moisturizer,1,1,1,1,1,2,2,GENIUS Ultimate Anti-Aging Cream,ALGENIST,3,5
Moisturizer,0,0,0,0,0,2,2,Your Skin But Better™ CC+ Airbrush Perfecting Powder™ with SPF 50+,IT COSMETICS,1,4
Moisturizer,1,1,1,1,1,2,2,Cicapair™ Tiger Grass Cream,DR. JART+,1,5
Moisturizer,1,0,1,1,1,2,2,Dramatically Different Hydrating Jelly,CLINIQUE,1,4
Moisturizer,1,1,1,1,1,2,2,Whipped Argan Oil Face Butter,JOSIE MARAN,1,5
Moisturizer,0,1,0,0,1,2,2,Nurture Me™ Moisturizing Crème,OLEHENRIKSEN,1,5
Moisturizer,0,0,0,0,0,2,2,Benefiance WrinkleResist24 Balancing Softener Enriched,SHISEIDO,1,5
Moisturizer,1,1,1,1,1,2,2,Sleep Tight Firming Night Balm with Echinacea GreenEnvy™,FARMACY,1,5
Moisturizer,0,1,1,1,0,2,2,Original Skin™ Matte Moisturizer with Willowherb,ORIGINS,1,5
Moisturizer,0,1,0,0,1,2,2,Phoenix Cell Regenerating Facial Oil,HERBIVORE,2,5
Moisturizer,1,1,1,1,1,2,2,Invigorating Night Transformation™ Gel,OLEHENRIKSEN,1,5
Moisturizer,1,1,1,1,1,2,2,Aqua Bomb Sleeping Mask,BELIF,1,5
Moisturizer,0,0,0,0,0,2,2,Charlotte's Magic Cream Mini,CHARLOTTE TILBURY,1,4
Moisturizer,1,0,1,1,1,2,2,Superfood Air-Whip Hyaluronic Acid Moisture Cream,YOUTH TO THE PEOPLE,1,5
Moisturizer,0,0,0,0,0,2,2,Facial Treatment Essence Karan Singh Limited Edition,SK-II,5,1
Moisturizer,1,1,1,1,1,2,2,The Indigo Cream Soothing Skin Protectant,TATCHA,2,5
Moisturizer,0,0,0,0,0,2,2,Super Multi-Corrective Cream,KIEHL'S SINCE 1851,2,5
Moisturizer,1,1,1,0,1,2,2,Squalane + Omega Repair Cream,BIOSSANCE,2,5
Moisturizer,0,0,0,0,0,2,2,Bio-Performance Advanced Super Restoring Cream,SHISEIDO,3,5
Moisturizer,0,1,1,0,0,2,2,High-Potency Night-a-Mins™ Resurfacing Cream with Fruit-Derived AHAs,ORIGINS,1,5
Moisturizer,0,0,0,0,0,2,2,Benefiance WrinkleResist24 Day Emulsion Broad Spectrum SPF 18,SHISEIDO,2,5
Moisturizer,0,0,0,0,0,2,2,Mist & Fix Setting Spray,MAKE UP FOR EVER,1,5
Moisturizer,0,0,0,0,0,2,2,Bye Bye Redness™ Neutralizing Correcting Cream,IT COSMETICS,1,5
Moisturizer,1,1,1,1,1,2,2,Daily Reviving Concentrate,KIEHL'S SINCE 1851,1,5
Moisturizer,1,0,1,1,0,2,2,BB Cream SPF 35,BOBBI BROWN,1,4
Moisturizer,1,0,1,1,1,2,2,Vitamin C Glow Moisturizer,FRESH,1,5
Moisturizer,1,1,1,1,1,2,2,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,KORRES,1,5
Moisturizer,0,0,0,0,0,2,2,Vitamin Nectar Antioxidant Face Mist,FRESH,1,5
Moisturizer,1,1,1,0,0,2,2,Peat Miracle Revital Cream,BELIF,2,5
